Id,SalePrice
1461,121679.11351351351
1462,139916.775
1463,141279.28828828828
1464,170123.30379746837
1465,189857.14285714287
1466,170123.30379746837
1467,139916.775
1468,170123.30379746837
1469,183093.0
1470,104473.76666666666
1471,183093.0
1472,121679.11351351351
1473,139916.775
1474,170123.30379746837
1475,154308.9411764706
1476,442105.4285714286
1477,257867.9875
1478,320166.6666666667
1479,257867.9875
1480,442105.4285714286
1481,310468.0344827586
1482,215622.2857142857
1483,139916.775
1484,154308.9411764706
1485,183093.0
1486,203099.2480620155
1487,310468.0344827586
1488,257867.9875
1489,183093.0
1490,170123.30379746837
1491,203099.2480620155
1492,121679.11351351351
1493,170123.30379746837
1494,310468.0344827586
1495,310468.0344827586
1496,203099.2480620155
1497,203099.2480620155
1498,154308.9411764706
1499,154308.9411764706
1500,139916.775
1501,170123.30379746837
1502,154308.9411764706
1503,257867.9875
1504,257867.9875
1505,203099.2480620155
1506,170123.30379746837
1507,202295.6
1508,170123.30379746837
1509,170123.30379746837
1510,139916.775
1511,139916.775
1512,141279.28828828828
1513,170123.30379746837
1514,141279.28828828828
1515,141279.28828828828
1516,170123.30379746837
1517,139916.775
1518,141279.28828828828
1519,183093.0
1520,139916.775
1521,139916.775
1522,170123.30379746837
1523,104473.76666666666
1524,139916.775
1525,121679.11351351351
1526,121679.11351351351
1527,104473.76666666666
1528,139916.775
1529,139916.775
1530,170123.30379746837
1531,141279.28828828828
1532,121679.11351351351
1533,139916.775
1534,139916.775
1535,141279.28828828828
1536,139916.775
1537,104473.76666666666
1538,180750.0
1539,310468.0344827586
1540,141279.28828828828
1541,170123.30379746837
1542,141279.28828828828
1543,225654.16666666666
1544,70791.40909090909
1545,139916.775
1546,139916.775
1547,141279.28828828828
1548,170123.30379746837
1549,121679.11351351351
1550,141279.28828828828
1551,139916.775
1552,141279.28828828828
1553,170123.30379746837
1554,139916.775
1555,173955.73913043478
1556,139916.775
1557,141279.28828828828
1558,121679.11351351351
1559,141279.28828828828
1560,141279.28828828828
1561,141279.28828828828
1562,121679.11351351351
1563,121679.11351351351
1564,139916.775
1565,141279.28828828828
1566,183093.0
1567,70791.40909090909
1568,202295.6
1569,173955.73913043478
1570,139916.775
1571,141279.28828828828
1572,139916.775
1573,285000.0
1574,139916.775
1575,183093.0
1576,170123.30379746837
1577,183093.0
1578,170123.30379746837
1579,121679.11351351351
1580,203099.2480620155
1581,121679.11351351351
1582,121679.11351351351
1583,310468.0344827586
1584,225654.16666666666
1585,121679.11351351351
1586,70791.40909090909
1587,121679.11351351351
1588,139916.775
1589,104473.76666666666
1590,139916.775
1591,104473.76666666666
1592,139916.775
1593,121679.11351351351
1594,141279.28828828828
1595,141279.28828828828
1596,225654.16666666666
1597,173955.73913043478
1598,285000.0
1599,189857.14285714287
1600,189857.14285714287
1601,70791.40909090909
1602,139916.775
1603,104473.76666666666
1604,257867.9875
1605,257867.9875
1606,139916.775
1607,202295.6
1608,183093.0
1609,183093.0
1610,141279.28828828828
1611,139916.775
1612,141279.28828828828
1613,139916.775
1614,121679.11351351351
1615,104473.76666666666
1616,104473.76666666666
1617,104473.76666666666
1618,121679.11351351351
1619,121679.11351351351
1620,141279.28828828828
1621,139916.775
1622,141279.28828828828
1623,257867.9875
1624,170123.30379746837
1625,121679.11351351351
1626,170123.30379746837
1627,170123.30379746837
1628,310468.0344827586
1629,203099.2480620155
1630,310468.0344827586
1631,257867.9875
1632,257867.9875
1633,183093.0
1634,170123.30379746837
1635,170123.30379746837
1636,139916.775
1637,141279.28828828828
1638,225654.16666666666
1639,170123.30379746837
1640,244479.83333333334
1641,170123.30379746837
1642,203099.2480620155
1643,257867.9875
1644,257867.9875
1645,141279.28828828828
1646,139916.775
1647,154308.9411764706
1648,139916.775
1649,139916.775
1650,104473.76666666666
1651,104473.76666666666
1652,121679.11351351351
1653,121679.11351351351
1654,170123.30379746837
1655,154308.9411764706
1656,170123.30379746837
1657,170123.30379746837
1658,170123.30379746837
1659,154308.9411764706
1660,139916.775
